,index,Тип объекта,Площадь участка,Площадь общая,Площадь жилая,Уровней в доме,Год постройки,Процент готовности,Материал стен,Материал крыши,Отопление,Канализация,Электроснабжение,Вода,Телефон,Условия продажи,Номер договора,Область,Район,Населенный пункт,Номер дома,Сельсовет,Координаты,Цена,Площадь кухни,Газ,Баня,Гараж,Статус земли,Сад,Хозпостройки,Возможен торг,Рядом лес,Водоем,Ландшафтный дизайн,Улица,Ширина застройки,Длина застройки,Теплица,Мебель,Направление,Ремонт,Камин,Строительные материалы,Район города,Беседка,Микрорайон,Новостройка,Бассейн,Элитный коттедж,Пруд на участке,Аукцион
0,3289189,['Дача'],"['10.38', 'соток']","['16.7', 'м²']","['12', 'м²']",['1'],['2000'],['100'],['Дерево'],['Шифер'],['Печное'],['Местная'],['Есть'],['Скважина'],['Есть'],"['Чистая', 'продажа']","['40/5', 'от', '22.03.2024']","['Гомельская', 'область']","['Гомельский', 'район']","['с/т', 'Родны', 'кут']",['40'],"['Бобовичский', 'с/с']","['52.330913,', '30.814533']",9 114 р.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3045903,['Дача'],"['7.55', 'соток']","['60.2', 'м²']","['43.1', 'м²']",['2'],['1991'],,"['Блок', 'газосиликатный']",,['Печное'],['Местная'],['Есть'],['Скважина'],,"['Чистая', 'продажа']",['7161'],"['Брестская', 'область']","['Брестский', 'район']","['Знаменский', 'с/с']",,"['Знаменский', 'с/с']","['52.010669,', '23.717579']",83 003 р.,"['7.2', 'м²']",['Рядом'],['Есть'],['Есть'],['Частная'],1.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,3292051,['Дача'],"['5', 'соток']","['80.8', 'м²']","['60', 'м²']",['3'],,['100'],"['Красный', 'кирпич']",['Шифер'],['Печное'],,['Есть'],,,"['Чистая', 'продажа']","['11/6', 'от', '25.03.2024']","['Минская', 'область']","['Молодечненский', 'район']","['с/т', 'АЛМАЗ-2002']",,"['Лебедевский', 'с/с']","['54.389141,', '26.682371']",41 990 р.,"['10', 'м²']",,,['Есть'],['Частная'],,,['Да'],1.0,1.0,,,,,,,,,,,,,,,,,,
0,2921238,['Дача'],"['4.3', 'сотки']","['29.6', 'м²']",,['1'],['1994'],,['Дерево'],['Шифер'],,,['Есть'],,,"['Чистая', 'продажа']","['3583/1', 'от', '06.12.2022']","['Брестская', 'область']","['Брестский', 'район']","['с/т', 'Южное-2']",,,"['52.071528,', '23.786624']",56 963 р.,,['Рядом'],,,['Частная'],,,['Да'],,,,,,,,,,,,,,,,,,,,
0,3152945,['Дача'],"['7', 'соток']","['10', 'м²']",,['1'],['1995'],,['Блочный'],,,,,,,,"['486/6', 'от', '25.07.2023']","['Гродненская', 'область']","['Гродненский', 'район']","['с/т', 'Колос-Жиличи']",,"['Коптёвский', 'с/с']","['53.620568,', '23.984891']",35 805 р.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3213546,['Дача'],"['10.12', 'соток']","['102', 'м²']",,['2'],,,['Кирпичный'],,['Печное'],['Местная'],,['Скважина'],,"['Чистая', 'продажа']","['№243/2', 'от', '15.12.2023']","['Могилевская', 'область']","['Бобруйский', 'район']","['д.', 'Богуславка']",,"['Горбацевичский', 'с/с']","['53.106238,', '28.907175']",29 295 р.,,,,,['Частная'],,,,,,,,,,,,,,,,,,,,,,,
0,3114867,['Дача'],"['5.7', 'соток']",,,,['1984'],,,,,,,,,,"['305/7', 'от', '16.08.2023']","['Гомельская', 'область']","['Речицкий', 'район']","['с/т', 'Нефтяник-Гадынь']",['20'],"['Борщёвский', 'с/с']","['52.35948,', '30.522615']",30 923 р.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3047687,['Дача'],"['25', 'соток']",,,,,,,,,,,,,"['Чистая', 'продажа']",,"['Витебская', 'область']","['Докшицкий', 'район']","['д.', 'Вешнее']",,"['Порплищенский', 'с/с']","['55.019553,', '27.560215']",3 255 р.,,,,,['Частная'],,,['Да'],,,,,,,,,,,,,,,,,,,,
0,3135898,['Дача'],"['6', 'соток']","['187.9', 'м²']",,['1'],['2022'],,"['Блок', 'газосиликатный']",['Металло-черепица'],,['Местная'],['Есть'],['Скважина'],,"['Чистая', 'продажа']","['2818/1', 'от', '06.09.2023']","['Брестская', 'область']","['Брестский', 'район']","['д.', 'Каменица-Жировецкая']",,,"['52.066688,', '23.79465']",211 250 р.,,['Есть'],,,"['Пожизненноe', 'наследуемое', 'владение']",,,['Да'],,,,,,,,,,,,,,,,,,,,
0,3297884,['Дача'],"['15', 'соток']",,,['1'],,,['Дерево'],['Шифер'],['Печное'],"['С/у', 'на', 'улице']",['Есть'],['Рядом'],,"['Чистая', 'продажа']",,"['Минская', 'область']","['Логойский', 'район']","['д.', 'Становище']",['20'],"['Околовский', 'с/с']","['54.502014,', '27.939852']",19 530 р.,,,,,['Частная'],1.0,1.0,['Да'],1.0,,1.0,"['Центральная', 'ул.']",,,,,,,,,,,,,,,,
