,Материал стен,Материал крыши,Отопление,Канализация,Электроснабжение,Вода,Телефон,Область,Район,Населенный пункт,Сельсовет,Газ,Баня,Гараж,Статус земли,Сад,Хозпостройки,Рядом лес,Водоем,Ландшафтный дизайн,Теплица,Мебель,Направление,Ремонт,Камин,Строительные материалы,Беседка,Новостройка,Бассейн,Элитный коттедж,Пруд на участке,land_area,house_area,house_levels,house_year,house_readiness,latitude,longitude,price,liv_house_area,kitchen_area,house_width,house_length,regional_center_coordinates,district_center_coordinates
0,дерево,шифер,печь,местная,220В,скважина,1,Гомель,Гомельский,"['с/т', 'Родны', 'кут']",Бобовичский,нет,0,0,,0,0,0,0,0,0,0,,нет,0,0,0,0,0,0,0,10.38,16.7,1.0,2000.0,100.0,52.330913,30.814533,9114.0,12.0,,,,"(52.4191246, 30.97227287)","(52.30635452, 30.93305779)"
1,блок г/с,,печь,местная,220В,скважина,0,Брест,Брестский,"['Знаменский', 'с/с']",Знаменский,рядом,1,1,частная,1,1,0,0,0,0,0,,нет,0,0,0,0,0,0,0,7.55,60.2,2.0,1991.0,,52.010669,23.717579,83003.0,43.1,7.2,,,"(52.0941124, 23.7319088)","(52.11528015, 23.66110992)"
2,кирпич красн.,шифер,печь,нет,220В,нет,0,Минск,Молодечненский,"['с/т', 'АЛМАЗ-2002']",Лебедевский,нет,0,1,частная,0,0,1,1,0,0,0,,нет,0,0,0,0,0,0,0,5.0,80.8,3.0,1990.0,100.0,54.389141,26.682371,41990.0,60.0,10.0,,,"(53.897686, 27.54942131)","(54.31774902, 26.87177849)"
3,дерево,шифер,нет,нет,220В,нет,0,Брест,Брестский,"['с/т', 'Южное-2']",Знаменский,рядом,0,0,частная,0,0,0,0,0,0,0,,нет,0,0,0,0,0,0,0,4.3,29.6,1.0,1994.0,,52.071528,23.786624,56963.0,,,,,"(52.0941124, 23.7319088)","(52.11528015, 23.66110992)"
4,блок,,нет,нет,нет,нет,0,Гродно,Гродненский,"['с/т', 'Колос-Жиличи']",Коптёвский,нет,0,0,,0,0,0,0,0,0,0,,нет,0,0,0,0,0,0,0,7.0,10.0,1.0,1995.0,,53.620568,23.984891,35805.0,,,,,"(53.67042542, 23.82331085)","(53.66699982, 23.81699944)"
5,кирпич,,печь,местная,нет,скважина,0,Могилев,Бобруйский,"['д.', 'Богуславка']",Горбацевичский,нет,0,0,частная,0,0,0,0,0,0,0,,нет,0,0,0,0,0,0,0,10.12,102.0,2.0,1990.0,,53.106238,28.907175,29295.0,,,,,"(53.90841293, 30.34563446)","(53.09999847, 29.21699905)"
6,,,нет,нет,нет,нет,0,Гомель,Речицкий,"['с/т', 'Нефтяник-Гадынь']",Борщёвский,нет,0,0,,0,0,0,0,0,0,0,,нет,0,0,0,0,0,0,0,5.7,,,1984.0,,52.35948,30.522615,30923.0,,,,,"(52.4191246, 30.97227287)","(52.30830765, 30.21722221)"
7,,,нет,нет,нет,нет,0,Витебск,Докшицкий,"['д.', 'Вешнее']",Порплищенский,нет,0,0,частная,0,0,0,0,0,0,0,,нет,0,0,0,0,0,0,0,25.0,,,1990.0,,55.019553,27.560215,3255.0,,,,,"(55.1845932, 30.20467567)","(54.85689545, 27.88083267)"
8,блок г/с,черепица мет.,нет,местная,220В,скважина,0,Брест,Брестский,"['д.', 'Каменица-Жировецкая']",Мухавецкий,есть,0,0,пожизн.,0,0,0,0,0,0,0,,нет,0,0,0,0,0,0,0,6.0,187.9,1.0,2022.0,,52.066688,23.79465,211250.0,,,,,"(52.0941124, 23.7319088)","(52.11528015, 23.66110992)"
9,дерево,шифер,печь,с/у снаружи,220В,рядом,0,Минск,Логойский,"['д.', 'Становище']",Околовский,нет,0,0,частная,1,1,1,0,1,0,0,,нет,0,0,0,0,0,0,0,15.0,,1.0,1990.0,,54.502014,27.939852,19530.0,,,,,"(53.897686, 27.54942131)","(54.36783218, 27.79842567)"
10,кирпич,,печь,нет,220В,скважина,0,Брест,Брестский,"['с/т', 'Чернинский', 'Родничок']",Чернинский,нет,0,0,,0,0,0,0,0,0,0,,нет,0,0,0,0,0,0,0,4.23,57.8,,1990.0,,52.146121,23.767554,68355.0,,,,,"(52.0941124, 23.7319088)","(52.11528015, 23.66110992)"
11,кирпич,шифер,печь,нет,220В,холодная,0,Гомель,Гомельский,"['с/т', 'Энергетик']",Улуковский,нет,0,0,частная,0,0,0,0,0,0,0,,нет,0,0,0,0,0,0,0,6.0,,2.0,1980.0,100.0,52.449694,31.080509,50778.0,,,,,"(52.4191246, 30.97227287)","(52.30635452, 30.93305779)"
12,сб-щитовой,шифер,нет,с/у снаружи,220В,скважина,0,Гомель,Гомельский,"['с/т', 'Журавинка']",Грабовский,нет,0,0,частная,0,0,1,0,0,1,0,,нет,0,0,0,0,0,0,0,5.88,36.0,1.0,1987.0,,52.193781,31.115361,12044.0,24.0,6.0,6.0,6.0,"(52.4191246, 30.97227287)","(52.30635452, 30.93305779)"
13,дерево,шифер,печь,с/у снаружи,220В,сезонная,0,Минск,Минский,"['с/т', 'Купалинка-Вязынка']",,нет,0,0,частная,0,1,1,0,1,1,1,"['Молодечненское,', '28', 'км', 'от', 'МКАД']",нет,0,0,0,0,0,0,0,5.49,41.5,1.0,2008.0,,54.083803,27.175547,51755.0,32.3,9.2,,,"(53.897686, 27.54942131)","(53.90000153, 27.56699944)"
14,дерево,шифер,печь,с/у снаружи,220В,сезонная,0,Минск,Воложинский,"['с/т', 'Криница-здоровье']",Раковский,нет,0,0,частная,1,1,1,1,0,1,1,,отделка дер.,0,0,0,0,0,0,0,4.62,53.9,2.0,1987.0,100.0,54.080502,27.149701,28970.0,29.8,5.7,,,"(53.897686, 27.54942131)","(54.04510117, 26.60364342)"
15,,,печь,с/у снаружи,220В,сезонная,0,Минск,Смолевичский,"['с/т', 'Сутоки']",Усяжский,рядом,1,1,частная,1,1,1,1,1,0,1,"['Московское,', '49', 'км', 'от', 'МКАД']",отделка дер.,1,0,0,0,0,0,0,4.3,52.0,2.0,1989.0,,54.194446,28.090934,31899.0,,,,,"(53.897686, 27.54942131)","(54.00950623, 28.13910675)"
16,дерево,,печь,местная,220В,сезонная,0,Минск,Минский,"['д.', 'Дубовый', 'Лес']",Михановичский,нет,0,0,частная,0,1,0,0,0,0,1,"['Пуховичское,', '16.5', 'км', 'от', 'МКАД']",нет,0,0,0,0,0,0,0,4.66,41.2,1.0,1990.0,,53.690195,27.703388,48174.0,,,,,"(53.897686, 27.54942131)","(53.90000153, 27.56699944)"
17,кирпич бел.,,электрич.,местная,220В,скважина,0,Гродно,Гродненский,"['г.', 'Гродно']",,нет,0,0,частная,0,1,1,1,1,1,0,,не достроен,0,1,0,0,0,0,0,10.0,110.0,2.0,2022.0,,53.625429,23.723199,159495.0,,,10.0,10.0,"(53.67042542, 23.82331085)","(53.66699982, 23.81699944)"
18,сруб,шифер,нет,нет,220В,горячая,0,Минск,Минский,"['д.', 'Узборье']",,есть,0,0,частная,0,0,0,0,0,0,0,"['Логойское,', '15', 'км', 'от', 'МКАД']",нет,0,0,0,0,0,0,0,5.95,71.4,,1993.0,100.0,54.0388,27.7285,179025.0,,,,,"(53.897686, 27.54942131)","(53.90000153, 27.56699944)"
19,сруб,шифер,печь,с/у снаружи,220В,сезонная,0,Минск,Пуховичский,"['с/т', 'Труд', 'МЗАЛ']",Блужский,нет,0,0,частная,0,0,0,0,0,0,0,,нет,0,0,0,0,0,0,0,12.01,69.9,2.0,2004.0,,53.420194,28.214772,48825.0,46.0,5.7,6.68,6.02,"(53.897686, 27.54942131)","(53.48345947, 27.9997406)"
20,сруб,шифер,электрич.,местная,220В,скважина,0,Минск,Смолевичский,"['с/т', 'Реченька']",Драчковский,рядом,1,0,частная,1,1,1,1,1,0,1,"['Московское,', '25', 'км', 'от', 'МКАД']",нет,1,0,1,0,0,0,0,6.6,69.0,2.0,2010.0,100.0,53.91374,27.92817,90164.0,50.0,,8.0,10.0,"(53.897686, 27.54942131)","(54.00950623, 28.13910675)"
21,каркасн. дер.,черепица мет.,печь,местная,220В,сезонная,0,Минск,Пуховичский,"['с/т', 'Журавинка']",Блужский,нет,1,0,частная,0,1,1,0,1,0,0,,нет,0,0,0,0,0,0,0,10.0,83.0,2.0,2015.0,100.0,53.38401,28.299647,56963.0,36.0,10.0,,,"(53.897686, 27.54942131)","(53.48345947, 27.9997406)"
22,"дер., кирпич",ондулин,печь,местная,380В,сезонная,0,Минск,Минский,"['с/т', 'Заподгорье']",Ждановичский,нет,0,0,частная,0,0,1,1,1,0,1,"['Раковское,', '11', 'км', 'от', 'МКАД']",отделка дер.,1,0,0,0,0,0,0,4.5,54.3,2.0,1968.0,,53.938321,27.284452,120435.0,,,,,"(53.897686, 27.54942131)","(53.90000153, 27.56699944)"
23,сруб,шифер,печь,с/у снаружи,220В,сезонная,0,Минск,Минский,"['с/т', 'Лукоморье']",Петришковский,нет,0,0,частная,1,1,1,0,1,0,1,"['Молодечненское,', '33', 'км', 'от', 'МКАД']",отделка дер.,0,1,0,0,0,0,0,5.42,68.1,2.0,1992.0,,54.115977,27.23276,32225.0,,,,,"(53.897686, 27.54942131)","(53.90000153, 27.56699944)"
24,блок,,нет,местная,220В,сезонная,0,Минск,Логойский,"['с/т', 'ЛЕСНОЕ-90']",Беларучский,рядом,0,0,частная,1,0,1,1,1,0,0,"['Мядельское,', '23', 'км', 'от', 'МКАД']",нет,0,0,0,0,0,0,0,8.3,,,2017.0,100.0,54.13869,27.575553,52080.0,,,,,"(53.897686, 27.54942131)","(54.36783218, 27.79842567)"
25,кирпич,шифер,печь,местная,220В,горячая,0,Минск,Минский,"['с/т', 'Родник-2009']",Горанский,рядом,0,0,частная,0,0,0,0,0,0,0,"['Раковское,', '25', 'км', 'от', 'МКАД']",нет,0,0,0,0,0,0,0,9.29,62.0,2.0,1999.0,100.0,53.944553,27.08744,162425.0,51.0,,,,"(53.897686, 27.54942131)","(53.90000153, 27.56699944)"
26,брус профил.,черепица мет.,электрич.,местная,220В,сезонная,1,Минск,Смолевичский,"['с/т', 'Алеся']",Драчковский,рядом,1,0,частная,1,1,1,1,1,1,1,"['Могилёвское,', '19', 'км', 'от', 'МКАД']",отделка дер.,0,0,1,0,0,0,0,11.19,50.0,1.0,2016.0,100.0,53.858166,27.920574,118808.0,26.2,10.3,,,"(53.897686, 27.54942131)","(54.00950623, 28.13910675)"
27,блок г/с,,паровое г.,местная,220В,скважина,0,Брест,Брестский,"['Мухавецкий', 'с/с']",Мухавецкий,есть,0,0,частная,0,0,0,1,1,0,0,,нет,0,0,1,0,0,0,0,6.94,150.0,2.0,2010.0,,52.079529,23.79213,234035.0,84.0,13.4,,,"(52.0941124, 23.7319088)","(52.11528015, 23.66110992)"
29,дерево,шифер,электрич.,нет,380В,центральн.,0,Минск,Минский,"['с/т', 'Березовая', 'роща-1']",Боровлянский,есть,0,1,частная,1,1,1,1,1,0,1,"['Логойское,', '12', 'км', 'от', 'МКАД']",нет,0,0,1,0,0,0,0,4.98,63.1,3.0,2004.0,100.0,54.034923,27.634271,97325.0,42.8,7.4,20.5,24.5,"(53.897686, 27.54942131)","(53.90000153, 27.56699944)"
