,district_center_coordinates,district_city_coordinates
Гомельский,"(52.2527, 31.0048)","(52.263, 31.0)"
Брестский,"(52.0655, 23.394)","(52.0529, 23.4024)"
Молодечненский,"(54.1849, 26.5106)","(54.1849, 26.5106)"
Гродненский,"(53.4, 23.49)","(53.4, 23.49)"
Бобруйский,"(53.06, 29.13)","(53.06, 29.13)"
Логойский,"(54.12, 27.51)","(54.12, 27.51)"
Минский,"(53.54, 27.34)","(53.55, 27.33)"
Воложинский,"(54.05, 26.31)","(54.05, 26.31)"
Смолевичский,"(54.0122, 28.0419)","(54.0122, 28.0419)"
Пуховичский,"(53.31, 28.083)","(53.31, 28.083)"
Дзержинский,"(53.41, 27.08)","(53.41, 27.08)"
Витебский,"(55.11, 30.1)","(55.11, 30.1)"
Кобринский,"(52.1246, 24.2218)","(52.12, 24.21)"
Жабинковский,"(52.1206, 24.0118)","(52.1202, 24.0124)"
Узденский,"(53.2758, 27.1328)","(53.2758, 27.1328)"
Борисовский,"(54.14, 28.3)","(54.14, 28.3)"
Лидский,"(53.5314, 25.181)","(53.5314, 25.181)"
Вилейский,"(54.29, 26.55)","(54.29, 26.55)"
Пинский,"(52.073, 26.0509)","(52.07, 26.05)"
Столбцовский,"(53.29, 26.44)","(53.29, 26.44)"
Полоцкий,"(55.28, 28.48)","(55.29, 28.48)"
Оршанский,"(54.3, 30.24)","(54.3, 30.24)"
Барановичский,"(53.074, 25.5843)","(53.07, 25.59)"
Солигорский,"(52.49, 27.32)","(52.4705, 27.3206)"
Мядельский,"(54.5232, 26.5619)","(54.523, 26.56)"
Могилевский,"(53.55, 30.21)","(53.55, 30.21)"
Каменецкий,"(52.232, 23.4846)","(52.24, 23.48)"
Слуцкий,"(53.01, 27.33)","(53.01, 27.33)"
Браславский,"(55.3836, 27.0341)","(55.383, 27.02)"
Несвижский,"(53.13, 26.4)","(53.13, 26.4)"
